ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTREnsemblePredictedImpressions
2026-06-24,1231.1144299999999,67974.694982,2144.4500000000003,1221.76,52800.88,1266.58,25.370460000000048,31082.786148000003,53240.02615217679
2026-06-25,1243.8931049999999,67710.081504,2144.4500000000003,1143.56,50632.84,1278.57,126.39381000000009,32924.281856,53032.77213665426
2026-06-26,1214.9735779999999,67618.380462,2144.4500000000003,1032.24,47962.52,1225.1599999999999,217.398516,35481.438868,52960.948851892856
2026-06-27,1309.346311,68895.507608,2144.4500000000003,1169.32,50299.92,1237.1499999999999,171.19894200000007,34720.068112,53961.23701310785
2026-06-28,1423.403163,69315.408052,2144.4500000000003,1264.08,53169.759999999995,1238.2399999999998,193.982886,32368.403128000005,54290.11690916021
2026-06-29,1339.9587109999998,69613.437966,2144.4500000000003,1192.32,54139.52,1290.56,180.01174199999994,31766.424724,54523.54378102322
2026-06-30,1233.1541039999997,68420.316834,2144.4500000000003,1263.1599999999999,50224.52,1159.7599999999998,-18.24331200000007,34209.062476,53589.05190449159
2026-07-01,1232.528843,67884.40657199999,2144.4500000000003,1313.76,53702.2,1227.34,-75.04415399999993,30070.046408000002,53169.30928745365
2026-07-02,1258.992189,68247.620128,2144.4500000000003,1122.3999999999999,49629.439999999995,1185.9199999999998,166.77805800000007,34591.027392,53453.79014059152
2026-07-03,1233.18923,68435.56259999999,2144.4500000000003,1020.28,46130.88,1210.9899999999998,251.07605999999998,38321.51639999999,53600.99289195412
2026-07-04,1325.7042889999998,69859.36856799999,2144.4500000000003,1059.84,46877.92,1206.6299999999999,310.914258,39331.51355199999,54716.164751011645
2026-07-05,1475.018363,70374.10128799999,2144.4500000000003,1173.0,49803.439999999995,1275.2999999999997,352.817286,37041.195631999995,55119.32041771141
2026-07-06,1409.394805,70418.44606999999,2144.4500000000003,1610.9199999999998,49043.64,1321.08,-206.25879000000006,37855.71898,55154.05271557634
