ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,LifecycleCalibratedImpressions
2026-06-24,1609.91887,54958.264028000005,2645.75,1460.8000000000002,50524.979999999996,1313.06,30.096330000000055,32154.606360000005,67985.91322312228
2026-06-25,1626.629445,54744.321216000004,2645.75,1367.3000000000002,48450.38999999999,1325.4899999999998,149.9377550000001,34059.60192,67721.2560744916
2026-06-26,1588.811602,54670.179948,2645.75,1234.2,45895.17,1270.12,257.894318,36704.93676,67629.53989855976
2026-06-27,1712.222099,55702.750832000005,2645.75,1398.1000000000001,48131.81999999999,1282.55,203.0889410000001,35917.31184,68906.87781593978
2026-06-28,1861.373367,56042.244808,2645.75,1511.4,50877.95999999999,1283.6799999999998,230.116953,33484.55496000001,69326.84755844019
2026-06-29,1752.2536989999999,56283.205164,2645.75,1425.6000000000001,51805.91999999999,1337.9199999999998,213.54334099999994,32861.81868,69624.92665797073
2026-06-30,1612.586136,55318.554036,2645.75,1510.3000000000002,48059.67,1202.32,-21.641576000000082,35388.68532,68431.60861856939
2026-07-01,1611.768487,54885.264888000005,2645.75,1570.8000000000002,51387.45,1272.3799999999999,-89.02296699999992,31106.944560000004,67895.60991232494
2026-07-02,1646.374401,55178.926912,2645.75,1342.0,47490.24,1229.4399999999998,197.84455900000006,35783.82144000001,68258.88341147365
2026-07-03,1612.6320699999999,55330.880399999995,2645.75,1219.9,44142.479999999996,1255.4299999999998,297.84513,39642.94799999999,68446.85690066274
2026-07-04,1733.6133009999999,56482.042671999996,2645.75,1267.2,44857.31999999999,1250.9099999999999,368.829659,40687.77263999999,69870.8978472627
2026-07-05,1928.870167,56898.209552,2645.75,1402.5,47656.74,1322.1,418.538153,38318.47824,70385.71551645988
2026-07-06,1843.054745,56934.06278,2645.75,1926.1000000000001,46929.689999999995,1369.56,-244.67954500000005,39161.088599999995,70430.06761692534
2026-07-07,1793.588587,56053.883904,2645.75,1676.4,44448.84,1302.8899999999999,-20.30706699999997,40453.332480000005,69341.24565824641
2026-07-08,1799.490392,55642.167052,2645.75,1426.7,46177.10999999999,1429.4499999999998,260.363928,37934.85324,68831.93287940192
2026-07-09,1787.268497,55615.015064,2645.75,1349.7,43902.719999999994,1379.7299999999998,332.6366230000001,40350.78168,68798.34461505896
2026-07-10,1748.454743,55586.07578399999,2645.75,1215.5,39281.78999999999,1316.4499999999998,440.790537,45300.68808,68762.54538788872
2026-07-11,1842.2936209999998,56664.988048,2645.75,1323.3000000000002,39085.31999999999,1235.09,417.626539,47216.63376,70097.20973460637
2026-07-12,2017.1655489999998,57118.942432,2645.75,1181.4,40069.88999999999,1266.7299999999998,751.5274909999999,46869.003840000005,70658.77229309906
2026-07-13,1923.621553,57101.319476,2645.75,1138.5,37940.909999999996,1213.62,703.6013270000001,49142.77811999999,70636.97188184988
2026-07-14,1796.2656109999998,56288.773076000005,2645.75,1153.9,38041.92,1267.86,557.1649489999999,47750.610120000005,69631.81442250918
2026-07-15,1743.9120369999998,56243.431172,2645.75,1192.4,37863.21,1229.4399999999998,461.5814829999999,47872.217639999995,69575.7243911875
2026-07-16,1679.7760349999999,55972.112160000004,2645.75,1127.5,37277.13,1206.84,467.7575650000001,48077.419200000004,69240.09023075955
2026-07-17,1587.45762,55772.223876,2645.75,1102.2,35155.92,1221.53,401.71758000000005,50055.00612,68992.8191829801
2026-07-18,1682.820412,56448.892156,2645.75,1043.9,34937.24999999999,1174.07,562.8131079999999,51359.829719999994,69829.88912648271
2026-07-19,1925.237811,56376.874403999995,2645.75,1043.9,40215.299999999996,1244.1299999999999,809.304749,45540.11747999999,69740.79983800916
2026-07-20,1788.8663099999999,56375.717228,2645.75,1032.9,37088.42999999999,1193.28,682.74129,48918.69035999999,69739.36835780302
2026-07-21,1624.710927,55369.842636,2645.75,1085.7,37420.31999999999,1263.34,457.746993,46971.66732,68495.05498774798
2026-07-22,1648.3207649999997,55062.98002,2645.75,975.7,34467.719999999994,1159.3799999999999,602.7536349999999,49679.147399999994,68115.45174605593
2026-07-23,1653.6606519999998,54995.762884,2645.75,1015.3000000000001,34292.34,1161.6399999999999,564.6232679999998,49762.615079999996,68032.30104149811
2026-07-24,1610.561708,54888.246064,2645.75,996.6000000000001,34079.219999999994,1244.1299999999999,541.369972,49823.25168,67899.29776485128
2026-07-25,1700.7634699999999,55831.545143999996,2645.75,1069.2,34466.60999999999,1186.5,553.2277300000001,50893.87128,69066.20233381033
2026-07-26,1901.654272,56091.930264,2645.75,1096.7,35628.78,1197.8,727.244848,50048.60568000001,69388.31076438037
2026-07-27,1782.8597849999999,56184.885864,2645.75,1061.5,37338.17999999999,1188.76,645.1738149999999,48347.37768,69503.3011387485
2026-07-28,1621.14057,55198.958232,2645.75,994.4000000000001,36037.259999999995,1198.9299999999998,554.5466300000002,48197.04984,68283.6630803251
2026-07-29,1597.3127240000001,54901.370428,2645.75,995.5000000000001,35660.969999999994,1196.6699999999998,529.1083160000001,48133.97435999999,67915.53320983473
2026-07-30,1613.071418,54852.540808,2645.75,972.4000000000001,34455.509999999995,1151.4699999999998,570.5418619999998,49360.07496,67855.12871259029
2026-07-31,1580.1197229999998,54771.36954,2645.75,957.0000000000001,32066.789999999997,1066.7199999999998,553.976357,51814.3098,67754.71610167436
2026-08-01,1724.203971,55731.012116,2645.75,995.5000000000001,34578.719999999994,1158.25,658.132189,50613.93492,68941.83833071547
2026-08-02,1848.5919339999998,56397.500347999994,2645.75,1079.1000000000001,36708.81,1159.3799999999999,692.6507059999999,49363.48475999999,69766.315084237
2026-08-03,1698.581843,56734.871948,2645.75,1008.7,34699.71,1185.37,617.559437,52068.176759999995,70183.65934951183
2026-08-04,1617.540701,55920.26921600001,2645.75,988.9000000000001,34141.38,1224.9199999999998,556.9362590000001,51385.56192000001,69175.95811242664
2026-08-05,1642.0312579999998,55682.269212,2645.75,1019.7,34300.10999999999,1131.1299999999999,547.9584219999998,50838.17244,68881.54110517177
2026-08-06,1698.8301960000001,55400.49982,2645.75,1102.2,34797.39,1093.84,514.9619640000001,49855.6734,68532.97934158177
2026-08-07,1657.691658,55463.318988000006,2645.75,953.7,31882.529999999995,1094.9699999999998,636.4820219999999,53106.06156000001,68610.68955641355
2026-08-08,1808.242366,56402.652312,2645.75,941.6,33656.31,1073.5,802.8729940000001,52671.619439999995,69772.68830187092
2026-08-09,2000.8407719999998,56745.664252,2645.75,1073.6000000000001,37829.909999999996,1198.9299999999998,853.508348,48701.21724,70197.0099284684
2026-08-10,1853.1377339999997,56870.904652000005,2645.75,1164.9,39163.02,1179.7199999999998,602.8929060000002,47457.76524000001,70351.93809290408
2026-08-11,1778.4041869999999,55904.874276,2645.75,1200.1000000000001,39585.92999999999,1252.04,488.18333299999995,45475.254120000005,69156.91385996659
2026-08-12,1785.985796,55606.298244,2645.75,1351.9,42719.45999999999,1236.2199999999998,328.91236399999985,41616.21828,68787.56150575622
2026-08-13,1792.3417049999998,55579.668528,2645.75,1234.2,42507.45,1240.7399999999998,464.845095,41803.37136,68754.61931602095
2026-08-14,1698.049437,55518.895736,2645.75,1158.3000000000002,39135.27,1203.4499999999998,452.458083,45353.014319999995,68679.44056290142
2026-08-15,1796.763031,56543.849519999996,2645.75,1262.8000000000002,39967.77,1198.9299999999998,437.88072900000003,46071.362400000005,69947.35577545677
2026-08-16,1924.316989,56873.393424,2645.75,1350.8000000000002,42465.27,1278.03,470.7784510000001,43891.69488,70355.01681891947
