ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError
2026-07-08,1123.0365829999998,62105.293580000005,4060.68,997.7700000000001,33569.979999999996,1153.44,-226.23908600000001,12105.879083999998
2026-07-09,1125.4045999999998,62025.494190000005,4060.68,955.11,31961.96,1143.72,-166.65320000000003,13578.874061999999
2026-07-10,1124.1087229999998,62053.60766000001,4060.68,864.26,28618.0,1102.68,-46.03696600000002,16779.649068
2026-07-11,1198.3940079999998,65143.705440000005,4060.68,943.26,28428.579999999998,997.9200000000001,-78.44593599999996,19150.989312
2026-07-12,1219.4863829999997,66147.57248,4060.68,831.87,29066.539999999997,1013.0400000000001,91.90931399999991,19255.982304000005
2026-07-13,1168.8579419999999,64748.411420000004,4060.68,802.64,27553.64,968.7600000000001,80.97403599999996,19702.949916
2026-07-14,1122.0114159999998,62802.674880000006,4060.68,815.2800000000001,27664.34,1032.48,17.60532799999997,18217.945824000002
2026-07-15,1109.7054529999998,62018.50886,4060.68,847.6700000000001,27496.239999999998,999.0000000000001,-38.045626000000034,17821.800828
2026-07-16,1116.8891119999998,62014.53005000001,4060.68,800.27,27092.8,975.24,32.67089599999999,18202.739490000004
2026-07-17,1113.575857,62078.01765000001,4060.68,784.47,25528.239999999998,996.84,50.588605999999885,19735.997970000004
2026-07-18,1199.5896259999997,65214.30223,4060.68,740.23,25460.18,962.2800000000001,195.1585079999999,22024.648854
2026-07-19,1223.1672899999996,66274.43207,4060.68,737.07,29318.28,1028.16,222.75581999999997,19106.477286000005
2026-07-20,1164.1711279999997,64866.38939000001,4060.68,735.49,27031.3,967.6800000000001,166.4310239999999,20283.467022
2026-07-21,1118.0126119999998,62857.76398,4060.68,765.51,27178.079999999998,1018.44,80.42389599999994,18719.549004000004
2026-07-22,1106.2207839999999,62074.620520000004,4060.68,694.4100000000001,25123.16,949.32,164.14227200000008,20118.909096
2026-07-23,1116.6576709999997,62002.53059,4060.68,721.27,25073.14,989.2800000000001,138.44161799999995,20115.370782
2026-07-24,1112.586321,62059.85126,4060.68,707.0500000000001,24820.579999999998,1001.1600000000001,153.48831800000013,20396.256348000003
2026-07-25,1205.8463439999998,65213.854530000004,4060.68,762.35,25162.519999999997,990.36,171.67675200000002,22307.471394
2026-07-26,1233.3146349999997,66356.15074,4060.68,769.46,25919.379999999997,981.72,189.34833,22397.523252
2026-07-27,1183.2040739999998,65038.87918,4060.68,752.08,27208.42,963.36,163.02609199999995,20237.297964
2026-07-28,1131.3226629999997,62994.88019,4060.68,693.62,26207.199999999997,953.6400000000001,190.06955399999995,19740.296862
2026-07-29,1115.2127429999998,62183.49137,4060.68,691.25,25802.94,972.0000000000001,177.2901939999999,19549.488426
2026-07-30,1127.0127029999996,62161.83512,4060.68,680.19,25049.359999999997,956.8800000000001,203.81987399999997,20250.952176000003
2026-07-31,1128.193983,62260.972290000005,4060.68,681.77,23414.28,887.7600000000001,202.870114,21876.569442
2026-08-01,1238.2995509999996,65872.67357,4060.68,705.47,25187.12,948.24,280.14665799999995,22751.233986
2026-08-02,1304.090534,66827.46862,4060.68,763.9300000000001,26794.32,973.08,266.882772,21899.470476000002
2026-08-03,1201.1304259999997,64989.949530000005,4060.68,708.63,25265.019999999997,989.2800000000001,239.08490799999998,22051.202394
2026-08-04,1145.104263,62958.58239,4060.68,696.7800000000001,24863.219999999998,1004.4000000000001,199.4823540000001,20992.978422
2026-08-05,1131.9848859999997,62151.293600000005,4060.68,718.11,24987.859999999997,923.4000000000001,157.8655879999999,20301.97728
2026-08-06,1132.8463429999997,62048.798350000005,4060.68,782.89,25521.68,939.6,71.79899399999992,19721.51883
2026-08-07,1130.3546339999998,62128.851290000006,4060.68,672.2900000000001,23363.44,937.44,217.7305719999999,21831.243642
2026-08-08,1205.6252819999997,65266.539800000006,4060.68,666.76,24564.739999999998,896.4000000000001,299.71775600000007,22913.45004
2026-08-09,1234.5783049999998,66197.97888000001,4060.68,765.51,27734.039999999997,1022.7600000000001,195.90019,20559.225024000003
2026-08-10,1180.1422689999997,64740.26845,4060.68,824.76,28542.559999999998,972.0000000000001,62.472901999999976,18756.49581
2026-08-11,1129.498206,62841.70849000001,4060.68,853.2,28945.179999999997,1069.2,-25.857851999999955,17027.264202000002
2026-08-12,1114.7927679999998,62043.508780000004,4060.68,959.85,31293.66,1057.3200000000002,-183.52585600000003,14227.348044
2026-08-13,1120.5006829999998,61960.78053000001,4060.68,877.69,31137.859999999997,1064.88,-67.63128600000009,14316.886194000002
2026-08-14,1118.0746719999997,62076.54398,4060.68,824.76,28677.039999999997,1032.48,0.9853759999999331,16739.753004
2026-08-15,1202.3381349999997,65184.22207,4060.68,899.0200000000001,29276.46,1016.2800000000001,-15.178670000000066,18373.199286
2026-08-16,1222.2031129999998,66249.0169,4060.68,957.48,31097.679999999997,1085.4,-73.93934599999987,17395.855620000002
